"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
5.982666020E-1	2.541204169E-2	2.237398922E-2	-4.400253296E-2	5.552107855E-2
6.033630370E-1	-2.467231080E-2	-4.358291626E-4	-6.382369995E-2	6.842790032E-2
6.084289550E-1	-2.210596204E-2	3.077358007E-3	-6.447410583E-2	6.822795624E-2
6.134948730E-1	-2.065400034E-2	1.722928882E-2	-1.645469666E-2	3.153082881E-2
6.185607910E-1	-1.203304902E-2	2.940446138E-3	2.523708344E-2	2.811317969E-2
6.236267090E-1	1.077006012E-2	1.244530082E-2	3.451633453E-2	3.823946989E-2
6.286926270E-1	-6.938572973E-3	1.000820100E-2	-1.918411255E-2	2.272307322E-2
6.337585450E-1	1.875728369E-3	2.292209864E-2	-1.071643829E-2	2.537287947E-2
6.388244630E-1	1.005504280E-2	2.861675620E-2	-3.316974640E-2	4.494724349E-2
6.438903810E-1	-5.494430661E-5	1.179066300E-2	-2.458190918E-2	2.726340059E-2
6.489562990E-1	-1.049460843E-2	1.298186183E-2	6.494522095E-3	1.791212885E-2
6.540222170E-1	-1.115452126E-2	8.113086224E-3	1.712512970E-2	2.198898769E-2
6.590881350E-1	-8.184924722E-3	1.273553073E-2	2.053928375E-2	2.551566015E-2
6.641845710E-1	-1.241497323E-2	1.844701171E-2	3.105068207E-2	3.819121179E-2
6.692504890E-1	-8.345324546E-3	-6.541162729E-4	3.910160065E-2	3.998759161E-2
6.743469240E-1	-2.929273620E-2	-2.677567303E-2	6.729125977E-3	4.025272906E-2
6.794128420E-1	-1.326869801E-2	-1.480239630E-2	-4.011154175E-3	2.027951283E-2
6.844787600E-1	3.749132156E-3	1.142892241E-2	2.332115173E-2	2.624028159E-2
6.895446780E-1	1.707037538E-2	2.785028517E-2	1.719379425E-2	3.691426094E-2
6.946105960E-1	1.025037467E-2	1.196804643E-2	1.111602783E-2	1.928394127E-2
6.996765140E-1	-7.195718586E-3	-8.584976196E-3	-1.509761810E-2	1.879942166E-2
7.047424320E-1	-1.499376819E-2	-9.961381555E-3	-2.090740204E-2	2.758915850E-2
7.098083500E-1	-2.541247755E-3	4.196390510E-3	-4.922676086E-2	4.947061369E-2
7.148742680E-1	3.566034138E-4	2.868101001E-3	-3.575801849E-2	3.587462970E-2
7.199401860E-1	1.023859531E-2	2.285058796E-2	-2.232551575E-3	2.513886415E-2
7.250061040E-1	-1.086694375E-2	9.834766388E-7	3.731727600E-3	1.148983282E-2
7.301025390E-1	-2.466751635E-2	-6.007388234E-3	1.081371307E-2	2.759549722E-2
7.351684570E-1	3.080621362E-3	2.406820655E-3	-9.445190430E-3	1.022226178E-2
7.402343750E-1	2.580726147E-2	1.429225504E-2	2.498626709E-3	2.960618912E-2
7.453002930E-1	-1.829807460E-2	1.065923274E-2	2.741527557E-2	3.464153737E-2
7.503662110E-1	-3.256912529E-2	-3.589794040E-3	1.055812836E-2	3.442540658E-2
7.554321290E-1	7.749333978E-3	-3.416487575E-2	-3.463363647E-2	4.926235568E-2
7.605285650E-1	3.362521529E-4	2.545598149E-2	-2.366352081E-2	3.475747799E-2
7.655944830E-1	2.488940954E-3	1.703010499E-2	-2.108955383E-2	2.722110549E-2
7.706604010E-1	2.702808008E-2	-9.083896875E-3	-1.260566711E-2	3.117590638E-2
7.757263190E-1	-1.869672909E-2	1.132251322E-2	-5.373001099E-3	2.250857893E-2
7.807922370E-1	2.670552582E-3	1.870319247E-3	8.912086487E-3	9.489743449E-3
7.858886720E-1	-1.047552377E-2	1.257966459E-2	-2.796173096E-2	3.240128018E-2
7.909545900E-1	-1.251993328E-2	2.789932489E-2	4.336357117E-3	3.088567713E-2
7.960205080E-1	-1.326537132E-2	-6.663560867E-3	4.465961456E-2	4.706223850E-2
8.010864260E-1	1.391883940E-3	-1.254883409E-2	2.885437012E-2	3.149579738E-2
8.061828620E-1	1.473682001E-2	1.680314541E-3	1.201629639E-4	1.483279340E-2
8.112487800E-1	-6.575934589E-3	3.474642336E-2	2.030181885E-2	4.077647239E-2
8.163146980E-1	-4.351325333E-4	1.049946249E-2	-5.722045898E-5	1.050863107E-2
8.213806150E-1	-1.454509050E-2	1.251970232E-2	-1.311969757E-2	2.324713032E-2
8.264465330E-1	-1.086888835E-2	1.818288863E-2	1.667404175E-2	2.695874331E-2
8.315124510E-1	-8.574467152E-3	-3.075985610E-2	1.177978516E-2	3.403606283E-2
8.365783690E-1	9.069323540E-3	-1.518230140E-2	-1.681518555E-2	2.440297872E-2
8.416442870E-1	-3.193598241E-3	3.169327974E-4	-1.192665100E-2	1.235089147E-2
8.467102050E-1	1.664268970E-2	-1.166222990E-2	-4.152011871E-2	4.622669126E-2
8.517761230E-1	-1.123742387E-2	1.438806951E-2	-8.087158203E-4	1.827430602E-2
8.568725590E-1	3.806982189E-3	2.003470063E-2	5.123138428E-3	2.102686116E-2
8.619384770E-1	-3.227457032E-2	5.500972271E-3	2.050971985E-2	3.863362775E-2
8.670043950E-1	-1.833693311E-2	-2.075971663E-2	1.558208466E-2	3.178065941E-2
8.720703130E-1	1.090368256E-2	1.795575023E-3	-1.169204712E-3	1.111221952E-2
8.771362310E-1	7.800787687E-3	2.530653775E-2	-1.167297363E-3	2.650727682E-2
8.822021490E-1	-5.958046764E-3	1.780454814E-2	-3.540039062E-3	1.910581410E-2
8.872680670E-1	-1.949826628E-2	5.628630519E-3	2.853202820E-2	3.501343317E-2
8.923645020E-1	9.661320597E-3	5.416631699E-3	9.297370911E-3	1.446105530E-2
8.974304200E-1	2.426226065E-2	2.676114440E-3	1.158523560E-2	2.701918881E-2
9.024963380E-1	-9.803116322E-3	1.183676720E-2	-3.126811981E-2	3.484114613E-2
9.075622560E-1	-7.156431675E-4	-7.534638047E-3	-2.744483948E-2	2.846931909E-2
9.126281740E-1	2.142274752E-2	1.600201428E-2	-7.038116455E-3	2.765020173E-2
9.176940920E-1	-1.242992654E-2	6.217271090E-3	-1.411247253E-2	1.980705467E-2
