"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Height WGS84 (m)"	"Speed (m/s)"	"Direction (°)"	"Distance (km)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"	"Satellites"
4.840223696E1	4.947872905E1	8.488034400E0	9.315114119E1	1.420000000E2	0.000000000E0	0.000000000E0	2.792872757E-1	1.286400032E1	1.200000000E1	1.200000000E1
4.940030055E1	4.947872826E1	8.488032090E0	9.315114002E1	1.420000000E2	0.000000000E0	0.000000000E0	2.794518921E-1	1.286400032E1	1.200000000E1	1.300000000E1
5.039959857E1	4.947872973E1	8.488032360E0	9.315114159E1	1.420000000E2	0.000000000E0	0.000000000E0	2.800832799E-1	1.393600082E1	1.200000000E1	1.300000000E1
5.140285889E1	4.947873273E1	8.488024940E0	9.215114360E1	1.410000000E2	0.000000000E0	0.000000000E0	2.807122627E-1	1.393600082E1	1.200000000E1	1.200000000E1
5.240538764E1	4.947873741E1	8.488029830E0	9.315114918E1	1.420000000E2	0.000000000E0	0.000000000E0	2.811125233E-1	1.393600082E1	1.200000000E1	1.300000000E1
5.340562503E1	4.947873744E1	8.488024290E0	9.215114838E1	1.410000000E2	0.000000000E0	0.000000000E0	2.816262622E-1	1.500800037E1	1.600000000E1	1.400000000E1
5.440100477E1	4.947874206E1	8.488024350E0	9.315115319E1	1.420000000E2	0.000000000E0	0.000000000E0	2.817114118E-1	1.393600082E1	1.200000000E1	1.400000000E1
5.540599493E1	4.947874269E1	8.488023680E0	9.215115374E1	1.410000000E2	0.000000000E0	0.000000000E0	2.820666830E-1	1.179199982E1	1.200000000E1	1.400000000E1
5.640627810E1	4.947874418E1	8.488019330E0	9.215115464E1	1.410000000E2	0.000000000E0	0.000000000E0	2.870140985E-1	9.648000717E0	1.200000000E1	1.600000000E1
5.741041071E1	4.947878865E1	8.488021540E0	9.215120109E1	1.410000000E2	1.269999981E0	3.160000038E1	2.892883115E-1	7.504000187E0	1.200000000E1	1.600000000E1
5.840639321E1	4.947880783E1	8.488032470E0	9.315122262E1	1.420000000E2	1.940000057E0	1.950000000E1	2.921167691E-1	6.432000160E0	8.000000000E0	1.600000000E1
5.940527529E1	4.947883261E1	8.488041310E0	9.315124963E1	1.420000000E2	2.660000086E0	1.330000019E1	2.950114794E-1	6.432000160E0	8.000000000E0	1.600000000E1
6.041046347E1	4.947885646E1	8.488057370E0	9.215127676E1	1.410000000E2	2.900000095E0	1.800000000E1	2.982192892E-1	6.432000160E0	8.000000000E0	1.700000000E1
6.143542456E1	4.947888208E1	8.488077780E0	9.315130637E1	1.420000000E2	3.309999943E0	2.120000076E1	3.022056145E-1	1.072000027E1	8.000000000E0	1.700000000E1
6.241276518E1	4.947891238E1	8.488107270E0	9.115134219E1	1.400000000E2	4.090000153E0	2.720000076E1	3.103558536E-1	1.072000027E1	8.000000000E0	1.700000000E1
6.341112841E1	4.947896509E1	8.488185660E0	9.015140852E1	1.390000000E2	5.019999981E0	3.070000076E1	3.160068819E-1	1.072000027E1	8.000000000E0	1.700000000E1
6.441169300E1	4.947900734E1	8.488229130E0	9.115145881E1	1.400000000E2	5.239999771E0	3.079999924E1	3.226104885E-1	1.072000027E1	8.000000000E0	1.700000000E1
6.541778456E1	4.947906047E1	8.488269970E0	9.015152000E1	1.390000000E2	5.639999866E0	3.129999924E1	3.277307406E-1	1.072000027E1	8.000000000E0	1.700000000E1
6.641291279E1	4.947909475E1	8.488317290E0	9.115156260E1	1.400000000E2	5.210000038E0	3.250000000E1	3.324100432E-1	1.072000027E1	8.000000000E0	1.700000000E1
6.741755607E1	4.947912801E1	8.488356970E0	8.915160300E1	1.380000000E2	4.849999905E0	2.789999962E1	3.371337202E-1	1.072000027E1	8.000000000E0	1.800000000E1
6.840958091E1	4.947916562E1	8.488387370E0	9.115164654E1	1.400000000E2	4.380000114E0	1.929999924E1	3.419526464E-1	1.072000027E1	8.000000000E0	1.800000000E1
6.940820638E1	4.947920862E1	8.488395680E0	9.115169238E1	1.400000000E2	4.170000076E0	1.219999981E1	3.469863826E-1	1.072000027E1	8.000000000E0	1.800000000E1
7.040534857E1	4.947925324E1	8.488383920E0	9.215173691E1	1.410000000E2	4.469999790E0	3.521000061E2	3.505524210E-1	1.072000027E1	8.000000000E0	1.900000000E1
7.140571956E1	4.947928154E1	8.488360700E0	9.215176281E1	1.410000000E2	4.030000210E0	3.427000122E2	3.562383498E-1	1.072000027E1	8.000000000E0	1.800000000E1
7.240833523E1	4.947931039E1	8.488295720E0	9.215178307E1	1.410000000E2	4.869999886E0	3.142999878E2	3.612777361E-1	1.072000027E1	8.000000000E0	1.800000000E1
7.340248310E1	4.947934305E1	8.488247360E0	9.415180976E1	1.430000000E2	4.940000057E0	3.121000061E2	3.695324875E-1	1.072000027E1	8.000000000E0	1.800000000E1
7.440416929E1	4.947940108E1	8.488176100E0	9.415185935E1	1.430000000E2	6.440000057E0	3.145000000E2	3.761230174E-1	1.179199982E1	8.000000000E0	1.900000000E1
7.540783560E1	4.947944842E1	8.488121210E0	9.615190029E1	1.450000000E2	6.429999828E0	3.115000000E2	3.822517840E-1	1.179199982E1	8.000000000E0	1.800000000E1
7.641627914E1	4.947946774E1	8.488041760E0	9.615190851E1	1.450000000E2	6.659999847E0	3.028999939E2	3.876204765E-1	1.072000027E1	8.000000000E0	1.800000000E1
7.742186497E1	4.947946058E1	8.487968270E0	9.615189015E1	1.450000000E2	5.809999943E0	2.997999878E2	3.933348458E-1	1.072000027E1	6.000000000E0	1.900000000E1
7.841906726E1	4.947947815E1	8.487893940E0	9.615189732E1	1.450000000E2	5.719999790E0	2.947000122E2	3.992721412E-1	1.072000027E1	8.000000000E0	1.900000000E1
7.941208700E1	4.947951723E1	8.487837940E0	9.615192952E1	1.450000000E2	5.349999905E0	3.002999878E2	4.042429673E-1	1.072000027E1	6.000000000E0	1.900000000E1
8.041713606E1	4.947953452E1	8.487774490E0	9.615193802E1	1.450000000E2	5.179999828E0	2.986000061E2	4.086311274E-1	1.072000027E1	6.000000000E0	1.900000000E1
8.142651262E1	4.947955312E1	8.487720920E0	9.515194934E1	1.440000000E2	4.469999790E0	2.987999878E2	4.101838513E-1	1.072000027E1	6.000000000E0	2.000000000E1
8.241956122E1	4.947954557E1	8.487702840E0	9.415193882E1	1.430000000E2	3.150000095E0	2.976000061E2	4.109916896E-1	9.648000717E0	6.000000000E0	2.000000000E1
8.341984169E1	4.947954691E1	8.487691850E0	9.515193857E1	1.440000000E2	1.879999995E0	2.942000122E2	4.114003424E-1	9.648000717E0	6.000000000E0	2.000000000E1
8.440506590E1	4.947954326E1	8.487691190E0	9.415193469E1	1.430000000E2	8.199999928E-1	2.942999878E2	4.125319100E-1	9.648000717E0	6.000000000E0	2.000000000E1
8.541597033E1	4.947954965E1	8.487679000E0	9.515193950E1	1.440000000E2	0.000000000E0	0.000000000E0	4.143149852E-1	9.648000717E0	6.000000000E0	2.000000000E1
8.640731492E1	4.947955901E1	8.487658960E0	9.515194623E1	1.440000000E2	1.800000072E-1	2.943999939E2	4.148537416E-1	9.648000717E0	6.000000000E0	2.000000000E1
8.741763960E1	4.947956091E1	8.487652100E0	9.615194718E1	1.450000000E2	0.000000000E0	0.000000000E0	4.150212994E-1	9.648000717E0	8.000000000E0	2.000000000E1
8.841138799E1	4.947955944E1	8.487651590E0	9.715194558E1	1.460000000E2	0.000000000E0	0.000000000E0	4.151002610E-1	9.648000717E0	8.000000000E0	2.000000000E1
8.940811163E1	4.947955873E1	8.487651610E0	9.715194485E1	1.460000000E2	0.000000000E0	0.000000000E0	4.153513870E-1	9.648000717E0	8.000000000E0	2.000000000E1
9.040384908E1	4.947955666E1	8.487653000E0	9.715194291E1	1.460000000E2	0.000000000E0	0.000000000E0	4.157435292E-1	1.072000027E1	8.000000000E0	2.000000000E1
9.140133705E1	4.947955387E1	8.487656320E0	9.815194051E1	1.470000000E2	0.000000000E0	0.000000000E0	4.163448442E-1	1.072000027E1	8.000000000E0	1.900000000E1
9.241537220E1	4.947955055E1	8.487662890E0	9.815193804E1	1.470000000E2	0.000000000E0	0.000000000E0	4.167796795E-1	1.072000027E1	8.000000000E0	1.900000000E1
9.341002507E1	4.947954827E1	8.487667780E0	9.815193640E1	1.470000000E2	0.000000000E0	0.000000000E0	4.172374649E-1	1.072000027E1	8.000000000E0	1.800000000E1
9.440200627E1	4.947954742E1	8.487673980E0	9.815193644E1	1.470000000E2	0.000000000E0	0.000000000E0	4.181841855E-1	1.072000027E1	8.000000000E0	1.800000000E1
9.540845887E1	4.947954230E1	8.487684450E0	9.815193269E1	1.470000000E2	0.000000000E0	0.000000000E0	4.189032785E-1	9.648000717E0	8.000000000E0	1.800000000E1
9.641102106E1	4.947954639E1	8.487692160E0	9.615193808E1	1.450000000E2	0.000000000E0	0.000000000E0	4.192724186E-1	9.648000717E0	8.000000000E0	1.700000000E1
9.740726653E1	4.947954319E1	8.487693520E0	9.515193496E1	1.440000000E2	0.000000000E0	0.000000000E0	4.203062684E-1	9.648000717E0	8.000000000E0	1.700000000E1
9.841050830E1	4.947954411E1	8.487707760E0	9.515193804E1	1.440000000E2	0.000000000E0	0.000000000E0	4.206769008E-1	9.648000717E0	8.000000000E0	1.700000000E1
9.940438887E1	4.947954158E1	8.487711100E0	9.415193591E1	1.430000000E2	0.000000000E0	0.000000000E0	4.213407651E-1	9.648000717E0	8.000000000E0	1.700000000E1
1.004046896E2	4.947954750E1	8.487712290E0	9.415194223E1	1.430000000E2	0.000000000E0	0.000000000E0	4.216358504E-1	9.648000717E0	8.000000000E0	1.700000000E1
1.014025045E2	4.947955009E1	8.487713180E0	9.415194505E1	1.430000000E2	0.000000000E0	0.000000000E0	4.221628847E-1	9.648000717E0	8.000000000E0	1.600000000E1
1.024155106E2	4.947954684E1	8.487707870E0	9.315194089E1	1.420000000E2	0.000000000E0	0.000000000E0	4.229684110E-1	9.648000717E0	8.000000000E0	1.700000000E1
1.034164791E2	4.947954047E1	8.487702560E0	9.515193349E1	1.440000000E2	5.199999809E-1	2.942999878E2	4.235333281E-1	9.648000717E0	8.000000000E0	1.700000000E1
1.044022899E2	4.947954427E1	8.487697370E0	9.615193666E1	1.450000000E2	6.299999952E-1	2.942999878E2	4.243727527E-1	9.648000717E0	8.000000000E0	1.700000000E1
1.054055487E2	4.947955031E1	8.487690400E0	9.815194189E1	1.470000000E2	9.800000191E-1	2.942999878E2	4.259613307E-1	9.648000717E0	8.000000000E0	1.700000000E1
1.064109090E2	4.947955876E1	8.487672670E0	9.715194801E1	1.460000000E2	1.799999952E0	3.183999939E2	4.285239814E-1	9.648000717E0	8.000000000E0	1.700000000E1
1.074061829E2	4.947957262E1	8.487644330E0	9.715195817E1	1.460000000E2	2.670000076E0	3.092999878E2	4.322780581E-1	1.072000027E1	8.000000000E0	1.700000000E1
1.084088569E2	4.947959002E1	8.487599800E0	9.715196960E1	1.460000000E2	3.640000105E0	3.036000061E2	4.370443811E-1	1.072000027E1	8.000000000E0	1.600000000E1
1.094065711E2	4.947960882E1	8.487540510E0	9.715198028E1	1.460000000E2	4.300000191E0	2.988999939E2	4.424909594E-1	1.072000027E1	8.000000000E0	1.700000000E1
1.104142056E2	4.947962857E1	8.487471520E0	9.715199050E1	1.460000000E2	4.760000229E0	2.962999878E2	4.535755221E-1	1.179199982E1	8.000000000E0	1.700000000E1
1.114088082E2	4.947965376E1	8.487323070E0	9.615199454E1	1.450000000E2	5.670000076E0	2.943999939E2	4.622148658E-1	1.179199982E1	8.000000000E0	1.800000000E1
1.124125234E2	4.947968563E1	8.487214010E0	9.515201137E1	1.440000000E2	7.030000210E0	2.970000000E2	4.741139063E-1	1.286400032E1	8.000000000E0	1.900000000E1
1.134164256E2	4.947973648E1	8.487069090E0	9.415204255E1	1.430000000E2	8.529999733E0	2.972000122E2	4.813333403E-1	1.286400032E1	8.000000000E0	1.900000000E1
1.144157077E2	4.947975668E1	8.486974120E0	9.615204937E1	1.450000000E2	8.229999542E0	2.957999878E2	4.929625951E-1	1.286400032E1	8.000000000E0	1.900000000E1
1.154110447E2	4.947978669E1	8.486819920E0	9.615205756E1	1.450000000E2	9.079999924E0	2.938999939E2	5.032671680E-1	1.393600082E1	8.000000000E0	1.900000000E1
1.164102566E2	4.947983895E1	8.486702130E0	9.915209424E1	1.480000000E2	9.630000114E0	3.038999939E2	5.127984036E-1	1.286400032E1	8.000000000E0	1.900000000E1
1.174094227E2	4.947988485E1	8.486590710E0	9.915212526E1	1.480000000E2	1.019999981E1	3.030000000E2	5.226854086E-1	1.286400032E1	1.200000000E1	1.900000000E1
1.184060483E2	4.947992010E1	8.486465070E0	1.011521431E2	1.500000000E2	1.027000046E1	3.012000122E2	5.324573421E-1	1.286400032E1	1.200000000E1	1.900000000E1
1.194222417E2	4.947996239E1	8.486346500E0	1.001521694E2	1.490000000E2	1.002000046E1	2.966000061E2	5.429705157E-1	1.179199982E1	1.200000000E1	1.800000000E1
1.204279257E2	4.948001311E1	8.486223690E0	1.011522037E2	1.500000000E2	9.909999847E0	2.975000000E2	5.518806406E-1	1.179199982E1	1.200000000E1	1.800000000E1
1.214089996E2	4.948005038E1	8.486114510E0	1.001522261E2	1.490000000E2	9.460000038E0	2.975000000E2	5.625188689E-1	1.179199982E1	8.000000000E0	1.700000000E1
1.224130732E2	4.948010648E1	8.485995230E0	1.001522665E2	1.490000000E2	9.710000038E0	2.997999878E2	5.734926197E-1	1.286400032E1	1.200000000E1	1.700000000E1
1.234141087E2	4.948015414E1	8.485862220E0	1.001522962E2	1.490000000E2	1.078999996E1	2.983999939E2	5.844165660E-1	1.393600082E1	1.200000000E1	1.600000000E1
1.244096082E2	4.948024223E1	8.485795280E0	1.001523776E2	1.490000000E2	9.979999542E0	3.068999939E2	5.919638530E-1	1.286400032E1	1.200000000E1	1.600000000E1
1.254047889E2	4.948027483E1	8.485703650E0	1.001523977E2	1.490000000E2	9.100000381E0	3.017999878E2	6.001249203E-1	1.286400032E1	1.200000000E1	1.600000000E1
1.264082032E2	4.948030596E1	8.485601350E0	9.915241480E1	1.480000000E2	8.930000305E0	3.012000122E2	6.096012543E-1	1.286400032E1	1.200000000E1	1.600000000E1
1.274118032E2	4.948036195E1	8.485502460E0	9.915245816E1	1.480000000E2	8.529999733E0	2.983999939E2	6.169768433E-1	1.179199982E1	1.200000000E1	1.600000000E1
1.284173176E2	4.948039084E1	8.485410560E0	9.915247444E1	1.480000000E2	8.250000000E0	2.991000061E2	6.260829895E-1	1.179199982E1	1.200000000E1	1.600000000E1
1.294068381E2	4.948043328E1	8.485302760E0	9.915250241E1	1.480000000E2	8.350000381E0	2.985000000E2	6.342750338E-1	1.286400032E1	1.200000000E1	1.500000000E1
1.304101812E2	4.948048582E1	8.485223270E0	1.001525451E2	1.490000000E2	8.159999847E0	3.011000061E2	6.407841796E-1	1.286400032E1	1.200000000E1	1.600000000E1
1.314042405E2	4.948052438E1	8.485155480E0	1.011525750E2	1.500000000E2	6.579999924E0	3.006000061E2	6.473839090E-1	1.286400032E1	1.200000000E1	1.600000000E1
1.324158365E2	4.948055256E1	8.485075080E0	1.021525922E2	1.510000000E2	6.190000057E0	2.987000122E2	6.536496537E-1	1.286400032E1	1.200000000E1	1.500000000E1
1.334193372E2	4.948059482E1	8.485017710E0	1.031526275E2	1.520000000E2	5.969999790E0	3.036000061E2	6.572002901E-1	1.393600082E1	1.200000000E1	1.600000000E1
1.344117628E2	4.948062142E1	8.484990520E0	1.031526511E2	1.520000000E2	4.570000172E0	3.102000122E2	6.595794052E-1	1.393600082E1	1.200000000E1	1.600000000E1
1.354150964E2	4.948063932E1	8.484972480E0	1.031526669E2	1.520000000E2	2.839999914E0	3.127999878E2	6.625751610E-1	1.393600082E1	1.200000000E1	1.600000000E1
1.364089135E2	4.948065658E1	8.485004320E0	1.031526896E2	1.520000000E2	1.700000048E0	3.422000122E2	6.654756843E-1	1.393600082E1	1.200000000E1	1.600000000E1
1.374205479E2	4.948066990E1	8.485038840E0	1.031527085E2	1.520000000E2	1.519999981E0	1.139999962E1	6.705327199E-1	1.500800037E1	1.200000000E1	1.600000000E1
1.384208724E2	4.948071066E1	8.485069890E0	1.031527554E2	1.520000000E2	2.259999990E0	1.800000000E1	6.775811200E-1	1.715200043E1	1.200000000E1	1.600000000E1
1.394060862E2	4.948076969E1	8.485105440E0	1.011528219E2	1.500000000E2	3.170000076E0	1.739999962E1	6.836999858E-1	1.715200043E1	1.200000000E1	1.600000000E1
1.404089040E2	4.948082335E1	8.485124210E0	1.021528804E2	1.510000000E2	2.349999905E0	4.400000095E0	6.878486684E-1	1.500800037E1	1.200000000E1	1.500000000E1
1.414062660E2	4.948078645E1	8.485115720E0	1.021528409E2	1.510000000E2	0.000000000E0	0.000000000E0	6.900153701E-1	1.393600082E1	1.600000000E1	1.500000000E1
1.424102429E2	4.948076820E1	8.485126230E0	1.021528235E2	1.510000000E2	0.000000000E0	0.000000000E0	6.905080809E-1	1.393600082E1	1.600000000E1	1.500000000E1
1.434127660E2	4.948076690E1	8.485132750E0	1.021528231E2	1.510000000E2	0.000000000E0	0.000000000E0	6.911299320E-1	1.393600082E1	1.600000000E1	1.400000000E1
1.444013662E2	4.948076331E1	8.485139350E0	1.021528204E2	1.510000000E2	0.000000000E0	0.000000000E0	6.919297375E-1	1.286400032E1	1.600000000E1	1.400000000E1
1.453995310E2	4.948075627E1	8.485137080E0	1.021528127E2	1.510000000E2	0.000000000E0	0.000000000E0	6.921165612E-1	1.286400032E1	1.600000000E1	1.500000000E1
1.464012305E2	4.948075747E1	8.485135270E0	1.021528137E2	1.510000000E2	0.000000000E0	0.000000000E0	6.933320097E-1	1.286400032E1	1.600000000E1	1.500000000E1
1.474085177E2	4.948074659E1	8.485136890E0	1.011528027E2	1.500000000E2	0.000000000E0	0.000000000E0	6.943113346E-1	1.179199982E1	1.600000000E1	1.500000000E1
1.484098784E2	4.948073831E1	8.485141510E0	1.021527948E2	1.510000000E2	0.000000000E0	0.000000000E0	6.944015750E-1	1.179199982E1	1.600000000E1	1.600000000E1
1.494032608E2	4.948073911E1	8.485141720E0	1.021527956E2	1.510000000E2	0.000000000E0	0.000000000E0	6.945710754E-1	1.179199982E1	1.600000000E1	1.600000000E1
1.503979459E2	4.948073782E1	8.485140470E0	1.021527941E2	1.510000000E2	0.000000000E0	0.000000000E0	6.952920492E-1	1.179199982E1	1.600000000E1	1.500000000E1
1.513957685E2	4.948073142E1	8.485138870E0	1.021527872E2	1.510000000E2	0.000000000E0	0.000000000E0	6.961042557E-1	1.179199982E1	1.600000000E1	1.500000000E1
